STATE,SAT2011,SAT2014
Alabama,1623,1608
Alaska,1513,1495
Arizona,1539,1551
Arkansas,1692,1697
California,1513,1505
Colorado,1699,1721
Connecticut,1535,1532
Delaware,1455,1351
DistrictofColumbia,1385,1400
Florida,1447,1457
Georgia,1445,1452
Hawaii,1448,1453
Idaho,1598,1364
Illinois,1807,1807
Indiana,1469,1470
Iowa,1777,1763
Kansas,1734,1752
Kentucky,1711,1741
Louisiana,1651,1655
Maine,1391,1380
Maryland,1492,1483
Massachusetts,1549,1553
Michigan,1760,1782
Minnesota,1778,1780
Mississippi,1660,1673
Missouri,1764,1773
Montana,1592,1595
Nebraska,1745,1734
Nevada,1460,1454
NewHampshire,1559,1567
NewJersey,1508,1521
NewMexico,1618,1626
NewYork,1460,1463
NorthCarolina,1475,1479
NorthDakota,1759,1799
Ohio,1606,1635
Oklahoma,1683,1689
Oregon,1540,1539
Pennsylvania,1473,1480
RhodeIsland,1477,1468
SouthCarolina,1436,1436
SouthDakota,1737,1760
Tennessee,1710,1709
Texas,1446,1437
Utah,1667,1684
Vermont,1538,1540
Virginia,1516,1528
Washington,1560,1537
WestVirginia,1512,1513
Wisconsin,1767,1771
Wyoming,1692,1757
